word,part_of_speech,status,other_forms,approved_meaning,approved_alternatives,alternatives_raw,guidance,ste_examples,non_ste_examples,page
LAST,adv,STE (approved),,After other persons or things,,After other persons or things,,FILL THE OUTER TANKS LAST.,,2-1-L1
last,v,Non-STE (not approved),,,CONTINUE (v),CONTINUE (v),,THE SIGNALS CONTINUE FOR 0.8 SECONDS.,The signals last 0.8 seconds.,2-1-L1
LATCH,v,STE (approved),"LATCHES, LATCHED, LATCHED",To hold something in position with a latching device,,To hold something in position with a latching device,,MAKE SURE THAT YOU LATCH THE DOOR CORRECTLY. | MAKE SURE THAT THE DOOR LATCHES CORRECTLY.,,2-1-L1
later,adj,Non-STE (not approved),,,SUBSEQUENT (adj) | THEN (adv),SUBSEQUENT (adj) THEN (adv),,"A SUBSEQUENT REPAIR WILL BE FOR THE NEW CONFIGURATION. | DO THIS STEP FIRST. | THEN, DISCONNECT THE CABLES.","A later repair will be for the new configuration. | Do this step first. | At a later time, disconnect the cables.",2-1-L2
later,adv,Non-STE (not approved),,,SUBSEQUENTLY (adv) | WHEN (conj) | AFTER (prep),SUBSEQUENTLY (adv) WHEN (conj) AFTER (prep),"If it is possible, give the condition or time.",MAKE SURE THAT THE TOOL IS SUBSEQUENTLY AVAILABLE FOR THE INSTALLATION PROCEDURE. | DO STEPS (3) THRU (5). | DO STEP (6) WHEN THE AILERON MOVEMENT STOPS. | THE BAR MOVES DOWN AFTER 20 SECONDS.,Make sure that the tool is available later for the installation procedure. | Do steps (3) to (5). | Do step (6) later. | The bar moves down later.,2-1-L2
LATERAL,adj,STE (approved),,Related to or on the side,,Related to or on the side,,ADJUST THE LATERAL LEVEL.,,2-1-L2
LATERALLY,adv,STE (approved),,In a lateral direction,,In a lateral direction,,"PUSH THE UNIT OUT, AND THEN MOVE IT LATERALLY.",,2-1-L2
lay,v,Non-STE (not approved),,,PUT (v),PUT (v),,PUT COVERS ON THE FLOOR.,Lay covers on the floor.,2-1-L2
LAYER,n,STE (approved),,"A material applied to a surface or put on, or below, a second material",,"A material applied to a surface or put on, or below, a second material",,APPLY A THIN LAYER OF SEALING COMPOUND ON THE BARE METAL.,,2-1-L2
lead,v,Non-STE (not approved),,,PUT (v),PUT (v),,PUT THE TELEFLEX CABLE THROUGH THE BULKHEAD.,Lead the Teleflex cable through the bulkhead.,2-1-L2
LEAK,n,STE (approved),,"A crack, gap or hole which lets fluid or light go into or come out of something",,"A crack, gap or hole which lets fluid or light go into or come out of something",,EXAMINE THE SWIVEL COUPLINGS FOR LEAKS.,,2-1-L2
leak,v,Non-STE (not approved),,,LEAK (n),LEAK (n),,"IF THERE ARE LEAKS IN THE SYSTEM, REPAIR THEM.","If the system is leaking, repair it.",2-1-L3
LEAKAGE,n,STE (approved),,The quantity of material that goes through a leak,,The quantity of material that goes through a leak,,MEASURE THE LEAKAGE FROM THE OUTLET PORT.,,2-1-L3
least,adv,Non-STE (not approved),,,MINIMUM (adj),MINIMUM (adj),,REPAIR THE AREA WITH THE MINIMUM DAMAGE FIRST.,Repair the least damaged area first.,2-1-L3
least (at least),adv,Non-STE (not approved),,,MINIMUM (adj) | MINIMUM (n),MINIMUM (adj) MINIMUM (n),,THE MINIMUM TIME BETWEEN CHECKS IS TWO MINUTES. | DO STEPS 13 THRU 16 FOR A MINIMUM OF THREE TIMES.,The time between checks is at least two minutes. | Do steps 13 thru 16 at least three times.,2-1-L3
leave,v,Non-STE (not approved),,,KEEP (v) | LET .... STAY (v) | GO (v),KEEP (v) LET .... STAY (v) GO (v),,"KEEP THE VENT VALVES OPEN. | LET THE VENT VALVES STAY OPEN. | IF FUEL SPILLS ON THE GROUND, IMMEDIATELY GO TO A SAFE AREA.","Leave the vent valves open. | Leave the vent valves open. | If fuel spills on the ground, immediately leave the contaminated area.",2-1-L3
LEFT,adj,STE (approved),,On the west side when you look north,,On the west side when you look north,,INSTALL THE CONTROL PANEL IN THE LEFT CONSOLE.,,2-1-L3
left-hand,adj,Non-STE (not approved),,,LEFT (adj),LEFT (adj),,SET THE LEFT SWITCH TO “ON.”,Set the left-hand switch to ON.,2-1-L3
legible,adj,Non-STE (not approved),,,READ (v),READ (v),,MAKE SURE THAT YOU CAN READ THE IDENTIFICATION PLATES.,Make certain that the identification plates are legible.,2-1-L3
LENGTH,n,STE (approved),,1. The distance from one end to the other end 2. The longer or longest of the three dimensions of an object,,1. The distance from one end to the other end 2. The longer or longest of the three dimensions of an object,,MEASURE THE LENGTH OF THE JACK RAM. | THE DIMENSIONS OF THE UNIT ARE: - LENGTH 300 mm - WIDTH 90 mm - THICKNESS 60 mm.,,2-1-L3
lengthen,v,Non-STE (not approved),,,INCREASE (v),INCREASE (v),,DO NOT TRY TO INCREASE THE LENGTH OF THIS ROD.,Do not try to lengthen this rod.,2-1-L4
LESS,adj,STE (approved),,"Of smaller dimension, value, quantity, volume, or number",,"Of smaller dimension, value, quantity, volume, or number",No other forms of this adjective.,THE FLOW RATE MUST NOT BE LESS THAN 4.0 GPM.,,2-1-L4
LET,v,STE (approved),"LETS, LET",To give opportunity,,To give opportunity,No other verb forms.,LET THE ADHESIVE BECOME TACKY.,,2-1-L4
lethal,adj,Non-STE (not approved),,,KILL (v),KILL (v),,THE ELECTRICAL DISCHARGE FROM THESE POWER UNITS CAN KILL YOU.,The electrical discharge from these power units can be lethal.,2-1-L4
LEVEL,adj,STE (approved),,Horizontal to a known datum,,Horizontal to a known datum,,PARK THE VEHICLE ON LEVEL GROUND.,,2-1-L4
LEVEL,n,STE (approved),,"A horizontal line, plane, surface, or condition",,"A horizontal line, plane, surface, or condition",,FILL THE TANK TO THE CORRECT LEVEL (REFER TO FIG. | 105).,,2-1-L4
level,v,Non-STE (not approved),,,LEVEL (adj),LEVEL (adj),,MAKE THE AIRCRAFT LEVEL.,Level the aircraft.,2-1-L4
liberal,adj,Non-STE (not approved),,,LARGE (adj) | THICK (adj),LARGE (adj) THICK (adj),,CLEAN THE WINDOW WITH LARGE QUANTITIES OF WATER AND SOAP. | APPLY A THICK LAYER OF THE COMPOUND.,Clean the window with liberal quantities of water and soap. | Apply a liberal amount of the compound.,2-1-L4
liberally,adv,Non-STE (not approved),,,LARGE (adj) | THICK (adj),LARGE (adj) THICK (adj),,APPLY A LARGE QUANTITY OF THE SOLUTION. | APPLY A THICK LAYER OF THE COMPOUND.,Apply the solution liberally. | Apply the compound liberally.,2-1-L4
lie,v,Non-STE (not approved),,,BE (v),BE (v),,THE OTHER PART OF THE CLIP IS ALONG THE BARREL.,The other part of the clip lies along the barrel.,2-1-L4
LIFE,n,STE (approved),,The time during which you can use an item or object,,The time during which you can use an item or object,,THE LIFE OF THE CARTRIDGE IN THE FIRE EXTINGUISHER IS 3 YEARS.,,2-1-L5
LIFT,v,STE (approved),"LIFTS, LIFTED, LIFTED",To move something up,,To move something up,,LIFT THE COVER CAREFULLY.,,2-1-L5
LIGHT,adj,STE (approved),"LIGHTER, LIGHTEST","That has a small mass, weight, or force",THIN (adj) | SMALL (adj),"That has a small mass, weight, or force THIN (adj) SMALL (adj)","For other meanings, use:",APPLY A LIGHT FORCE ON THE RUDDER PEDALS. | APPLY A THIN LAYER OF SEALANT ON THE SEALING SURFACES OF THE CONTAINER. | APPLY A SMALL QUANTITY OF LUBRICANT ON THE MOVING PARTS.,Apply a light layer of sealant on the sealing surfaces of the container. | Apply a light quantity of lubricant on the moving parts.,2-1-L5
light,v,Non-STE (not approved),,,COME ON,COME ON,,MAKE SURE THAT THE FLUID INDICATOR LIGHT COMES ON.,Ensure that the fluid indicator light lights.,2-1-L5
LIGHTING,n,STE (approved),,That which gives light to,,That which gives light to,,A DIMMER UNIT CONTROLS THE PANEL LIGHTING.,,2-1-L5
LIGHTLY,adv,STE (approved),,In a light manner,,In a light manner,,LIGHTLY RUB THE DEFECTIVE AREA WITH WET ABRASIVE PAPER.,,2-1-L5
LIMIT,n,STE (approved),,"A specified maximum or minimum quantity, number, time, or distance",,"A specified maximum or minimum quantity, number, time, or distance",,"IF THE CLEARANCES ARE NOT IN THE LIMITS GIVEN IN FIG. | 4, REFER TO REPAIR SCHEME No. | 2.",,2-1-L5
limitation,n,Non-STE (not approved),,,LIMIT (n),LIMIT (n),,"WHEN YOU LIFT THE AIRCRAFT ON JACKS, KEEP THE CENTER OF GRAVITY BETWEEN THESE LIMITS:","When you lift the aircraft on jacks, observe these center of gravity limitations:",2-1-L6
limited,adj,Non-STE (not approved),,,SMALL (adj),SMALL (adj),,THERE IS ONLY A SMALL NUMBER OF REPAIRS THAT YOU CAN DO.,There is only a limited number of repairs that you can do.,2-1-L6
LINEAR,adj,STE (approved),,In a straight line,,In a straight line,,MAKE SURE THAT THE RESULTS ARE LINEAR.,,2-1-L6
LINEARLY,adv,STE (approved),,In a straight line,,In a straight line,,INCREASE THE PRESSURE LINEARLY.,,2-1-L6
link,v,Non-STE (not approved),,,CONNECT (v) | ATTACH (v),CONNECT (v) ATTACH (v),,CONNECT THE CABLES. | ATTACH THE HOIST TO THE POWER UNIT.,Link the cables. | Link the hoist to the power unit.,2-1-L6
LIQUID,adj,STE (approved),,That has the properties of a liquid,,That has the properties of a liquid,,"DURING SERVICING, LIQUID OXYGEN FLOWS THROUGH THE STABILIZING CONTAINER.",,2-1-L6
LIQUID,n,STE (approved),,A material that is not a gas or a solid,,A material that is not a gas or a solid,,THE CONVERTER CHANGES THE LIQUID INTO A GAS.,,2-1-L6
list,v,Non-STE (not approved),,,RECORD (v) | SHOW (v) | LIST (TN),RECORD (v) SHOW (v) LIST (TN),,RECORD THE TEST RESULTS. | TABLE 1 SHOWS ALTERNATIVE ADHESIVES THAT YOU CAN USE. | MAKE A LIST OF THE PART NUMBERS IN NUMERICAL SEQUENCE.,List the test results. | Table 1 lists alternative adhesives that you can use. | List the part numbers in numerical sequence.,2-1-L6
LISTEN,v,STE (approved),"LISTENS, LISTENED, LISTENED",To use your ears to hear or find,,To use your ears to hear or find,,LISTEN FOR THE SIGNAL.,,2-1-L6
little,adj,Non-STE (not approved),,,SMALL (adj) | SHORT (adj) | NOT SUFFICIENT,SMALL (adj) SHORT (adj) NOT SUFFICIENT,,"THE DIAMETER OF THE TUBE IS TOO SMALL. | INSTALL A SHORT LENGTH OF NEW TUBE. | IF THE PRESSURE IS NOT SUFFICIENT, THE TEST WILL STOP.","The diameter of the tube is too little. | Install a little length of new tube. | If the pressure is too little, the test will stop.",2-1-L7
little (a little),adj,Non-STE (not approved),,,SMALL QUANTITY,SMALL QUANTITY,,ADD A SMALL QUANTITY OF DISINFECTANT TO THE SOLUTION.,Add a little disinfectant to the solution.,2-1-L7
little (a little),adv,Non-STE (not approved),,,SMALL (adj),SMALL (adj),,"AFTER YOU REMOVE THE NUT, THE RIB CAN MOVE DOWN A SMALL DISTANCE.","After you remove the nut, the rib can move down a little.",2-1-L7
LIVE,adj,STE (approved),,That includes explosive material,ENERGIZE (v),That includes explosive material ENERGIZE (v),"For electrical systems, use:",SOME MAINTENANCE TASKS ARE NOT PERMITTED ON AIRCRAFT THAT HAVE LIVE AMMUNITION. | THE SYSTEM IS ENERGIZED.,The system has live electrical power.,2-1-L7
load,v,Non-STE (not approved),,,INSTALL (v) | LOAD (TN),INSTALL (v) LOAD (TN),,INSTALL THE SPRING IN THE CARTRIDGE. | PUT THE LOAD ON THE SPRING BALANCE.,Load the spring in the cartridge. | Load the spring balance.,2-1-L7
LOCAL,adj,STE (approved),,Applicable to a given location or position,,Applicable to a given location or position,,SET THE “LAT” KNOB TO THE LOCAL LATITUDE.,,2-1-L7
LOCALLY,adv,STE (approved),,Applicable to a given location or position,,Applicable to a given location or position,,YOU CAN ALSO DO THIS TEST WITH A LOCALLY MADE TOOL.,,2-1-L7
locate,v,Non-STE (not approved),,,FIND (v) | ENGAGE (v) | PUT (v),FIND (v) ENGAGE (v) PUT (v),,USE TALCUM POWDER TO FIND EXTERNAL LEAKS. | ENGAGE THE GEAR WHEEL ON THE SHAFT. | PUT THE CLAMP IN ITS CORRECT POSITION.,Use talcum powder to locate external leaks. | Locate the gear wheel on the shaft. | Locate the clamp in its correct position.,2-1-L8
LOCATION,n,STE (approved),,A place or site that you can find,,A place or site that you can find,,FIGURES 1 THRU 4 SHOW THE LOCATIONS OF THE WALKWAYS.,,2-1-L8
LOCK,v,STE (approved),"LOCKS, LOCKED, LOCKED","To attach something, or hold it in position with a locking device",,"To attach something, or hold it in position with a locking device",,"LOCK THE SWITCH. | AND REMOVE THE KEY. | BEFORE YOU CONTINUE, MAKE SURE THAT THE SWITCH LOCKS.",,2-1-L8
log,v,Non-STE (not approved),,,RECORD (v),RECORD (v),,RECORD THE COMPASS CORRECTIONS ON THE CARD.,Log the compass corrections on the card.,2-1-L8
LONG,adj,STE (approved),"LONGER, LONGEST","That has a specified or large length, or a specified or large duration",,"That has a specified or large length, or a specified or large duration",,"USE A TUBE WHICH IS 3.3 FEET LONG. | IF THE TUBE IS TOO SHORT, USE A LONGER ONE. | MAKE SURE THAT THE TEST SIGNAL IS NOT LONGER THAN 3 TONES.",,2-1-L8
long (as long as),conj,Non-STE (not approved),,,WHILE (conj),WHILE (conj),,"WHILE THE DC SUPPLY IS ON, THE FAN MUST OPERATE.","As long as the DC supply is ON, the fan must operate.",2-1-L8
long (no longer),adv,Non-STE (not approved),,,NOT... AT THIS TIME UNTIL...NOT,NOT... AT THIS TIME UNTIL...NOT,,THIS PROCEDURE IS NOT APPLICABLE AT THIS TIME. | ADJUST THE POTENTIOMETER UNTIL YOU DO NOT HEAR A HUM FROM THE LOUDSPEAKER.,This procedure is no longer applicable. | Adjust the potentiometer until the loudspeaker no longer hums.,2-1-L9
LONGITUDINAL,adj,STE (approved),,Related to the longitudinal axis,,Related to the longitudinal axis,,ADJUST THE LONGITUDINAL TRIM SYSTEM.,,2-1-L9
LONGITUDINALLY,adv,STE (approved),,In a longitudinal direction,,In a longitudinal direction,,MOVE THE STAND LONGITUDINALLY.,,2-1-L9
LOOK,v,STE (approved),"LOOKS, LOOKED, LOOKED",To use your eyes to see or find,,To use your eyes to see or find,,LOOK THROUGH THE INSPECTION WINDOW.,,2-1-L9
LOOP,n,STE (approved),,A circular shape made in a flexible material,,A circular shape made in a flexible material,,MAKE A LOOP OF WIRE AROUND THE UNIT.,,2-1-L9
loop,v,Non-STE (not approved),,,LOOP (n),LOOP (n),,MAKE A LOOP OF WIRE AROUND THE UNIT.,Loop the wire around the unit.,2-1-L9
LOOSE,adj,STE (approved),,"1. On, in, but not attached 2. Not tight",TENSION (TN),"1. On, in, but not attached 2. Not tight TENSION (TN)","For other meanings, use:","MAKE SURE THAT YOU REMOVE ALL TOOLS, EQUIPMENT, AND LOOSE OBJECTS FROM THE AIR INTAKE. | DO A CHECK FOR LOOSE FASTENERS. | MAKE SURE THAT THERE IS TENSION IN THE CABLES.",Make sure that the cables are not loose.,2-1-L9
LOOSELY,adv,STE (approved),,Not tightly,,Not tightly,,MAKE SURE THAT THE PARTS ARE LOOSELY ASSEMBLED.,,2-1-L10
LOOSEN,v,STE (approved),"LOOSENS, LOOSENED, LOOSENED",To cause to be not tight,,To cause to be not tight,,LOOSEN THE SCREWS THAT ATTACH THE CLAMP TO THE SUPPORT.,,2-1-L10
lose,v,Non-STE (not approved),,,DECREASE (v),DECREASE (v),,THE EFFECT OF THE SOLVENT DECREASES QUICKLY.,The solvent loses its effectiveness quickly.,2-1-L10
lost,adj,Non-STE (not approved),,,DECREASE (v) | NOT FIND,DECREASE (v) NOT FIND,,"IF THE PRESSURE DECREASES QUICKLY, THE SHEAR PINS IN THE LATCH WILL BREAK. | IT IS POSSIBLE THAT YOU CANNOT FIND THE RUBBER BUSHINGS.","If the pressure is lost rapidly, the shear pins in the latch will break. | The rubber bushings may be lost.",2-1-L10
LOW,adj,STE (approved),"LOWER, LOWEST",That is of small value,,That is of small value,,THE SWITCH SENSES LOW PRESSURE IN THE DISTRIBUTION CIRCUIT.,,2-1-L10
LOWER,v,STE (approved),"LOWERS, LOWERED, LOWERED",To move something down,,To move something down,,LOWER THE ANTENNA TO GET ACCESS TO THE CABLE CONNECTOR.,,2-1-L10
lowermost,adj,Non-STE (not approved),,,BOTTOM (adj),BOTTOM (adj),,THE BOTTOM MARK ON THE BOARD IS RED.,The lowermost mark on the board is red.,2-1-L10
LUBRICATE,v,STE (approved),"LUBRICATES, LUBRICATED, LUBRICATED",To apply lubricant,,To apply lubricant,,LUBRICATE THE O-RINGS WITH HYDRAULIC FLUID.,,2-1-L10
lukewarm,adj,Non-STE (not approved),,,WARM (adj),WARM (adj),,SOAK THE AREA WITH WARM WATER.,Soak the area with lukewarm water.,2-1-L10
MAGNETIC,adj,STE (approved),,Related to the properties of a magnet,,Related to the properties of a magnet,,REMOVE THE MAGNETIC DRAIN PLUG FROM THE OIL RESERVOIR.,,2-1-M1
MAGNETICALLY,adv,STE (approved),,In a magnetic manner,,In a magnetic manner,,THE DOOR CLOSES MAGNETICALLY AND LOCKS.,,2-1-M1
main,adj,Non-STE (not approved),,,PRIMARY (adj),PRIMARY (adj),,THE PRIMARY CAUSE OF VALVE FAILURE IS CONTAMINATION OF THE FLUID.,The main cause of valve failure is contamination of the fluid.,2-1-M1
maintain,v,Non-STE (not approved),,,KEEP (v) | HOLD (v) | MAINTENANCE (n),KEEP (v) HOLD (v) MAINTENANCE (n),,"KEEP THE FLUID TEMPERATURE AT 70 °F. | TURN THE ROTATING TUBE 75 DEGREES. | THEN, HOLD THE TUBE IN THIS POSITION. | DO MAINTENANCE ON THE WATER SUPPLY SYSTEM.",Maintain the fluid temperature at 70 °F. | Turn the rotating tube 75 degrees. | Then maintain the tube in this position. | Maintain the water supply system.,2-1-M1
MAINTENANCE,n,STE (approved),,The servicing and/or the repair of something to keep it in the correct condition,,The servicing and/or the repair of something to keep it in the correct condition,,"DURING MAINTENANCE, OBEY ALL SAFETY PROCEDURES.",,2-1-M1
major,adj,Non-STE (not approved),,,PRIMARY (adj),PRIMARY (adj),,THE PRIMARY FUNCTION OF THE POWER UNIT IS TO SUPPLY ELECTRICAL POWER.,The major function of the power unit is to supply electrical power.,2-1-M1
MAKE,v,STE (approved),"MAKES, MADE, MADE","To manufacture, to cause to occur or to become",,"To manufacture, to cause to occur or to become",,MAKE A RECESS FOR THE STUDS OF 5 mm. | MAKE THE CLOTH MOIST WITH WATER. | TILT THE FITTING TO MAKE THE BARREL NUT FALL OUT OF IT.,,2-1-M2
make certain,v,Non-STE (not approved),,,MAKE SURE (v),MAKE SURE (v),,MAKE SURE THAT THE VALVE IS OPEN.,Make certain that the valve is open.,2-1-M2
MAKE SURE,v,STE (approved),"MAKES SURE, MADE SURE, MADE SURE",To verify and/or do the necessary steps,,To verify and/or do the necessary steps,,MAKE SURE THAT NO LEAK DETECTION FLUID GOES INTO THE OXYGEN SYSTEM.,,2-1-M2
maladjusted,adj,Non-STE (not approved),,,INCORRECTLY ADJUSTED,INCORRECTLY ADJUSTED,,"IF THE WARNING LIGHT IS ON WHEN THE DOOR IS CLOSED, THE MICROSWITCH IS INCORRECTLY ADJUSTED.","If the warning light is on when the door is closed, the microswitch is maladjusted.",2-1-M2
MALFUNCTION,n,STE (approved),,Incorrect operation,,Incorrect operation,,REFER TO TABLE 104 TO CORRECT THE MALFUNCTION.,,2-1-M2
MANDATORY,adj,STE (approved),,"That which you must do, use, or obey",,"That which you must do, use, or obey","If you want to use this word in procedures, think about a necessary safety instruction.","THIS SERVICE BULLETIN IS MANDATORY. | BEFORE YOU GO INTO THE LABORATORY, PUT ON PROTECTIVE CLOTHING.",It is mandatory to wear protective clothing in the laboratory.,2-1-M2
manipulate,v,Non-STE (not approved),,,MOVE (v) | ADJUST (v),MOVE (v) ADJUST (v),,MOVE THE FLEXIBLE PIPE TO GET ACCESS TO THE BOTTOM BOLTS. | ADJUST THE FLEXIBLE PIPE TO GET ACCESS TO THE BOTTOM BOLTS.,Manipulate the flexible pipe to get access to the bottom bolts. | Manipulate the flexible pipe to get access to the bottom bolts.,2-1-M2
MANUAL,adj,STE (approved),,Operated with the hands,,Operated with the hands,,"IF THE AUTOMATIC CONTROLS DO NOT OPERATE, USE THE MANUAL PROCEDURE.",,2-1-M3
MANUAL,n,STE (approved),,A publication that gives data related to a special subject,,A publication that gives data related to a special subject,,THIS MANUAL GIVES PERFORMANCE DATA.,,2-1-M3
MANUALLY,adv,STE (approved),,With your hands,,With your hands,,MOVE THE LEVER MANUALLY.,,2-1-M3
